Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,$37.00 /hr (est.),"Description of Roles and Responsibilities:
· Responsible for analyzing data requirements and developing data models for an ERP system
· Ensures that the system can effectively manage and analyze institutional data
· Create reports for internal teams and/or external clients
· Collaborate with team members to collect and analyze data
· Use graphs, infographics and other methods to visualize data",4.0,DONIA LLC,"New York, NY",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Telecaller & Data Analyst,"$10,000 /mo (est.)","Telecalling,Data Updation
Good communication Skills
Job Type: Full-time
Pay: $10,000.00 per month
Experience level:
No experience needed
Schedule:
8 hour shift",-1,Shubh Labh Vivah Sanstha,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,"$70,000 /yr (est.)","The Data Analysts should have broad range expertise in business analysis and business requirements. The Analysts will be required to gather supporting information that defines the current data state of the National Institute on Aging (NIA) for both extramural and intramural research programs to include clinical research, grants, and business operations.
Experience should include skill in determining the business needs and data requirements of external and internal clients through interviews, consultations, document analysis, surveys, business process descriptions, and task and workflow analysis. Experience should include documenting detailed project plans, and requirements throughout a product’s life - cycle.",4.2,"Dfuse Technologies, Inc.",Remote,Unknown,-1,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Analyst,"$85,000 /yr (est.)","Data Analyst
Job Role:
Working with cross-functionally with many different teams including Product, Marketing, Sales, Customer Success, and Strategy
Up level the organization's maturity around using data to inform strategic decisions
Work on optimizing our reporting and dashboards to meet business requirements and create opportunities for automation, improvements and scalability
Synthesize data into actionable insights to support decision-making at the strategic level across the organization",-1,Edrex,Remote,-1,-1,-1,-1,-1,-1
data analyst,"$79,286 /yr (est.)","responsibilities:
Perform data modeling, data analysis, and development of key performance indicators
Create, maintain, define reporting processes for overall revenue vertical
Work with end users of information to research reported data anomalies, identify root causes, and determine remediation steps
Must see the story behind the numbers in order to turn numbers into ACTION
Proactively communicate and collaborate with business units, technology teams and support teams
qualifications and experience:",4.0,Lead5 Media,"Newark, CA",1 to 50 Employees,2009,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD)
Data Analyst,$19.00 /hr (est.),"Title : Contract Coordinator / Data Auditor
Duration: 3+ months with possible of extension
Location: Arizona (Remote)
Pay Rate- $19/hr on W2
Job Description:
Essential Duties and Responsibilities:
Review and interpret vendor agreements, pricing documentation, incentive documentation, and/or contract documentation for relevant content and information. Use critical thinking and in-depth understanding of processes and best practices to make decisions and judgment calls on how to accurately load pricing based upon inputs or information provided by internal/ external stakeholders.",4.2,Intellipro Group,Remote,201 to 500 Employees,-1,Company - Private,-1,-1,$5 to $25 million (USD)
Data Analyst I,$26.63 /hr (est.),"Position Title: Data Analyst I
Department: Information Technology
Reports To: Director
POSITION SUMMARY
Under the general supervision of Evaluation and Data Supervisor, collects, evaluates, manages, and prepares data to support activities of agency. Prepares statistical and narrative reports, designs & conducts surveys, conducts focus groups, and completion of external surveys.",2.9,Tarzana Treatment Center,"Woodland Hills, CA",Unknown,1971,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst,"$87,792 /yr (est.)","Duration & Type: 12+ months Contract with a major utility industry client
Location: White Plains, New York
Responsibilities:
Collect and document detailed data requirements and the data flows
Identify relevant data attributes from internal data sources and document inputs, outputs and associated source-to-target data mapping
Document key processes and workflows around data acquisition, integration, cleansing and monitoring",4.5,InfoQuest Consulting Group Inc.,"White Plains, NY",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
Data Analyst,$33.99 /hr (est.),"Job Title: Data Analyst
Duration: Long Term Contract
Location: 100% Remote
Description:
Required Education Level: Bachelors
Required Degree: computer science, electronics engineering or other engineering or technical discipline is required.
Required Years Experience: 5 years",2.9,Ascent IT Solutions,Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,"$84,240 /yr (est.)","TriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retirement plans and workers’ compensation insurance.

TriNet has a nationwide presence and an experienced executive team. Our stock is publicly traded on the NYSE under the ticker symbol TNET. If you’re passionate about innovation and making an impact on the large SMB market, come join us as we power our clients’ business success with extraordinary HR.",3.7,TriNet,Remote,1001 to 5000 Employees,1988,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
